filename,contrast,exposure,scale,variance,border_variance,average_motion_x,average_motion_y,t_variance,t_border_variance,t_average_motion_x,t_average_motion_y,orb_variance,orb_border_variance,orb_average_motion_x,orb_average_motion_y,movement
LeDoulos_V1-0224,62.195,79.317,EXTREME CLOSE-UP,0.155,0.001,0.004,0.004,0.155,0.001,0.004,0.004,190282.453,,0.031,-0.013,STATIC
LeDoulos_V1-0225,45.915,52.699,MEDIUM CLOSE-UP,0.134,0.104,-0.005,0.005,0.134,0.104,-0.005,0.005,4388843.0,,0.014,0.009,STATIC
LeDoulos_V1-0226,52.569,85.613,MEDIUM LONG SHOT,5.34,5.34,-0.227,-0.001,270.876,270.876,-0.718,-0.007,20414.705,,0.03,0.164,STATIC
LeDoulos_V1-0227,36.854,64.018,MEDIUM LONG SHOT,3.139,0.0,-0.211,0.097,3.139,0.0,-0.211,0.097,1336.782,,-0.87,-1.166,STATIC
LeDoulos_V1-0228,45.868,53.975,MEDIUM CLOSE-UP,73.341,19.853,-3.014,-0.197,73.341,19.853,-3.014,-0.197,78270.531,,-0.762,0.201,PAN
LeDoulos_V1-0229,53.997,61.966,LONG SHOT,10.373,,0.055,0.045,10.966,,0.055,0.048,75.93,,0.093,-0.012,STATIC
LeDoulos_V1-0230,65.627,67.672,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0231,38.11,54.097,MEDIUM LONG SHOT,21.636,0.0,0.15,-0.47,21.636,0.0,0.15,-0.47,2233411.25,,0.391,-0.435,STATIC
LeDoulos_V1-0232,56.964,64.618,LONG SHOT,,,,,,,,,1978366.5,,-0.88,0.105,", PAN"
LeDoulos_V1-0233,44.953,58.917,MEDIUM CLOSE-UP,19.876,4.002,-0.471,0.018,24.257,6.559,0.232,-0.105,57133.566,,-0.09,-0.053,STATIC
LeDoulos_V1-0234,55.143,91.744,MEDIUM CLOSE-UP,0.192,0.0,0.012,0.096,0.192,0.0,0.012,0.096,17225312.0,,-0.089,0.062,STATIC
LeDoulos_V1-0235,55.417,68.069,MEDIUM LONG SHOT,,,,,,,,,1813748.75,,-0.356,-0.03,", PAN"
LeDoulos_V1-0236,62.897,78.424,MEDIUM LONG SHOT,0.089,0.089,0.0,0.01,0.089,0.089,0.0,0.01,24151108.0,,0.216,-0.116,STATIC
LeDoulos_V1-0237,47.064,62.283,MEDIUM LONG SHOT,0.245,,0.005,0.147,0.245,,0.005,0.147,40346.918,,0.0,0.093,STATIC
LeDoulos_V1-0238,70.497,92.258,LONG SHOT,9.607,0.212,-0.003,0.02,9.452,0.126,-0.007,0.026,10568860.0,,0.03,-0.017,STATIC
LeDoulos_V1-0239,62.391,68.397,MEDIUM LONG SHOT,388.68,,-1.057,0.416,66360.273,,-1.148,0.793,33548458.0,,-0.993,0.215,STATIC
LeDoulos_V1-0240,59.569,61.472,MEDIUM CLOSE-UP,,,,,,,,,13587.26,,13.983,-5.447,", PAN, TILT"
LeDoulos_V1-0241,45.288,47.502,MEDIUM LONG SHOT,,,,,,,,,3254655.75,,0.026,-0.094,
LeDoulos_V1-0242,34.756,34.078,MEDIUM LONG SHOT,1.299,0.009,0.028,0.011,1.299,0.009,0.028,0.011,21399844.0,,-0.087,0.126,STATIC
LeDoulos_V1-0243,52.363,52.937,MEDIUM LONG SHOT,287.314,,-6.198,2.544,21472.635,,1.642,-3.822,36485736.0,,-7.813,1.928,STATIC
LeDoulos_V1-0244,62.052,57.493,MEDIUM LONG SHOT,17.594,,-0.53,-0.531,5296.162,,-0.959,0.161,203925.797,,1.115,-0.164,STATIC
LeDoulos_V1-0245,67.197,80.512,MEDIUM LONG SHOT,,,,,,,,,41189276.0,,4.054,-0.017,"HANDHELD, PAN"
LeDoulos_V1-0246,44.452,31.747,MEDIUM CLOSE-UP,,,,,,,,,2991557.75,,0.201,0.064,", PAN"
LeDoulos_V1-0247,59.023,74.271,MEDIUM LONG SHOT,,,,,,,,,130641712.0,,15.215,0.96,"HANDHELD, PAN, TILT"
LeDoulos_V1-0248,57.296,42.186,MEDIUM LONG SHOT,945.779,,-1.114,-1.122,35110.367,,-3.106,-1.601,14791174.0,,0.21,-0.013,STATIC
LeDoulos_V1-0249,53.816,60.685,MEDIUM LONG SHOT,,,,,,,,,60624300.0,,0.676,0.586,"HANDHELD, PAN, TILT"
LeDoulos_V1-0250,47.273,53.811,MEDIUM LONG SHOT,,,,,,,,,17133556.0,,-0.649,-0.117,"HANDHELD, PAN"
LeDoulos_V1-0251,47.966,48.115,MEDIUM LONG SHOT,397.277,0.015,-1.714,-0.526,445.671,362.88,-0.112,-0.273,52850852.0,,-3.165,-0.366,STATIC
LeDoulos_V1-0252,52.693,131.558,UNKNOWN,18.599,,0.044,-0.09,18.617,,0.045,-0.098,37832952.0,,0.013,-0.007,STATIC
LeDoulos_V1-0253,29.737,86.967,UNKNOWN,36.931,36.931,-0.034,-0.076,36.931,36.931,-0.034,-0.076,36159824.0,,0.276,-4.191,HANDHELD
LeDoulos_V1-0254,47.431,48.004,MEDIUM LONG SHOT,0.397,,-0.01,0.048,0.292,,0.011,0.019,6752.444,,0.032,0.054,STATIC
LeDoulos_V1-0255,51.572,55.254,LONG SHOT,0.142,0.0,0.019,0.03,0.013,0.006,-0.0,-0.001,584973.5,,0.382,-0.01,STATIC
LeDoulos_V1-0256,53.227,77.476,MEDIUM LONG SHOT,0.004,0.004,0.02,0.002,0.004,0.004,0.02,0.002,2121638.25,,0.295,0.541,STATIC
LeDoulos_V1-0257,40.349,51.796,MEDIUM LONG SHOT,4.19,,-0.098,0.586,12.511,,0.206,-0.117,225341.672,,-0.043,0.558,STATIC
LeDoulos_V1-0258,51.399,67.113,MEDIUM CLOSE-UP,25.238,8.487,1.113,1.255,25.238,8.487,1.113,1.255,7121.7,,0.215,0.802,STATIC
LeDoulos_V1-0259,44.243,52.753,MEDIUM LONG SHOT,72.267,,-0.573,1.507,77.725,,0.063,-0.16,255.416,,-0.568,1.272,STATIC
LeDoulos_V1-0260,49.632,45.926,MEDIUM LONG SHOT,507.456,,0.561,0.287,1451.386,,0.307,0.495,38291584.0,,2.269,-0.018,STATIC
LeDoulos_V1-0261,55.538,61.756,MEDIUM CLOSE-UP,,,,,,,,,1273792.375,,-0.053,0.13,
